ARP-Operacion, ARP-MAC-Src, ARP-MAC-Dst, ARP-IP-Src, ARP-IP-Dst, Ether-MAC-Dst, Ether-MAC-Src, Tiempo
who-has, 38:19:2f:53:83:2a, 00:00:00:00:00:00, 0.0.0.0, 169.254.151.229, ff:ff:ff:ff:ff:ff, 38:19:2f:53:83:2a, 1398726029
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.13, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398726030
who-has, 38:19:2f:53:83:2a, 00:00:00:00:00:00, 0.0.0.0, 169.254.151.229, ff:ff:ff:ff:ff:ff, 38:19:2f:53:83:2a, 1398726030
who-has, 38:19:2f:53:83:2a, 00:00:00:00:00:00, 0.0.0.0, 169.254.151.229, ff:ff:ff:ff:ff:ff, 38:19:2f:53:83:2a, 1398726032
who-has, 38:19:2f:53:83:2a, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.13, ff:ff:ff:ff:ff:ff, 38:19:2f:53:83:2a, 1398726032
who-has, 38:19:2f:53:83:2a, 00:00:00:00:00:00, 10.254.31.13, 10.254.31.1, ff:ff:ff:ff:ff:ff, 38:19:2f:53:83:2a, 1398726032
who-has, 38:19:2f:53:83:2a, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.13, ff:ff:ff:ff:ff:ff, 38:19:2f:53:83:2a, 1398726033
who-has, 38:19:2f:53:83:2a, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.13, ff:ff:ff:ff:ff:ff, 38:19:2f:53:83:2a, 1398726034
who-has, 70:aa:b2:fc:2a:eb, ff:ff:ff:ff:ff:ff, 10.254.31.167, 10.254.31.1, ff:ff:ff:ff:ff:ff, 70:aa:b2:fc:2a:eb, 1398726052
who-has, bc:3b:af:8a:c1:8b, 00:00:00:00:00:00, 10.254.31.170, 10.254.31.170, ff:ff:ff:ff:ff:ff, bc:3b:af:8a:c1:8b, 1398726068
who-has, bc:3b:af:8a:c1:8b, 00:00:00:00:00:00, 10.254.31.170, 10.254.31.1, ff:ff:ff:ff:ff:ff, bc:3b:af:8a:c1:8b, 1398726069
who-has, bc:3b:af:8a:c1:8b, 00:00:00:00:00:00, 10.254.31.170, 169.254.255.255, ff:ff:ff:ff:ff:ff, bc:3b:af:8a:c1:8b, 1398726069
who-has, bc:3b:af:8a:c1:8b, 00:00:00:00:00:00, 10.254.31.170, 10.254.31.1, ff:ff:ff:ff:ff:ff, bc:3b:af:8a:c1:8b, 1398726069
who-has, d8:90:e8:36:ce:f4, 00:00:00:00:00:00, 10.254.31.14, 10.254.31.1, ff:ff:ff:ff:ff:ff, d8:90:e8:36:ce:f4, 1398726104
who-has, a8:6a:6f:32:ac:e9, ff:ff:ff:ff:ff:ff, 10.254.31.245, 10.254.31.1, ff:ff:ff:ff:ff:ff, a8:6a:6f:32:ac:e9, 1398726163
who-has, cc:08:e0:80:1d:94, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.15, ff:ff:ff:ff:ff:ff, cc:08:e0:80:1d:94, 1398726239
who-has, cc:08:e0:80:1d:94, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.15, ff:ff:ff:ff:ff:ff, cc:08:e0:80:1d:94, 1398726240
who-has, cc:08:e0:80:1d:94, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.15, ff:ff:ff:ff:ff:ff, cc:08:e0:80:1d:94, 1398726240
who-has, cc:08:e0:80:1d:94, 00:00:00:00:00:00, 10.254.31.15, 10.254.31.15, ff:ff:ff:ff:ff:ff, cc:08:e0:80:1d:94, 1398726240
who-has, cc:08:e0:80:1d:94, 00:00:00:00:00:00, 10.254.31.15, 10.254.31.15, ff:ff:ff:ff:ff:ff, cc:08:e0:80:1d:94, 1398726241
who-has, cc:08:e0:80:1d:94, 00:00:00:00:00:00, 10.254.31.15, 10.254.31.15, ff:ff:ff:ff:ff:ff, cc:08:e0:80:1d:94, 1398726241
who-has, cc:08:e0:80:1d:94, 00:00:00:00:00:00, 10.254.31.15, 10.254.31.1, ff:ff:ff:ff:ff:ff, cc:08:e0:80:1d:94, 1398726241
who-has, cc:08:e0:80:1d:94, 00:00:00:00:00:00, 10.254.31.15, 169.254.255.255, ff:ff:ff:ff:ff:ff, cc:08:e0:80:1d:94, 1398726241
who-has, cc:08:e0:80:1d:94, 00:00:00:00:00:00, 10.254.31.15, 10.254.31.1, ff:ff:ff:ff:ff:ff, cc:08:e0:80:1d:94, 1398726242
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.17, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398726308
who-has, c0:9f:42:9e:15:66, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.17, ff:ff:ff:ff:ff:ff, c0:9f:42:9e:15:66, 1398726312
who-has, c0:9f:42:9e:15:66, 00:00:00:00:00:00, 0.0.0.0, 10.254.31.17, ff:ff:ff:ff:ff:ff, c0:9f:42:9e:15:66, 1398726312
who-has, c0:9f:42:9e:15:66, 00:00:00:00:00:00, 10.254.31.17, 10.254.31.17, ff:ff:ff:ff:ff:ff, c0:9f:42:9e:15:66, 1398726313
who-has, c0:9f:42:9e:15:66, 00:00:00:00:00:00, 10.254.31.17, 10.254.31.17, ff:ff:ff:ff:ff:ff, c0:9f:42:9e:15:66, 1398726313
who-has, c0:9f:42:9e:15:66, 00:00:00:00:00:00, 10.254.31.17, 10.254.31.17, ff:ff:ff:ff:ff:ff, c0:9f:42:9e:15:66, 1398726313
who-has, c0:9f:42:9e:15:66, 00:00:00:00:00:00, 10.254.31.17, 10.254.31.1, ff:ff:ff:ff:ff:ff, c0:9f:42:9e:15:66, 1398726314
who-has, c0:9f:42:9e:15:66, 00:00:00:00:00:00, 10.254.31.17, 169.254.255.255, ff:ff:ff:ff:ff:ff, c0:9f:42:9e:15:66, 1398726314
who-has, c0:9f:42:9e:15:66, 00:00:00:00:00:00, 10.254.31.17, 10.254.31.1, ff:ff:ff:ff:ff:ff, c0:9f:42:9e:15:66, 1398726314
who-has, a8:6a:6f:32:ac:e9, ff:ff:ff:ff:ff:ff, 10.254.31.245, 10.254.31.1, ff:ff:ff:ff:ff:ff, a8:6a:6f:32:ac:e9, 1398726445
who-has, a8:6a:6f:32:ac:e9, ff:ff:ff:ff:ff:ff, 10.254.31.245, 10.254.31.1, ff:ff:ff:ff:ff:ff, a8:6a:6f:32:ac:e9, 1398726466
who-has, 30:39:26:f5:1c:cb, 00:00:00:00:00:00, 10.254.31.149, 10.254.31.149, ff:ff:ff:ff:ff:ff, 30:39:26:f5:1c:cb, 1398726482
who-has, 30:39:26:f5:1c:cb, 00:00:00:00:00:00, 10.254.31.149, 10.254.31.1, ff:ff:ff:ff:ff:ff, 30:39:26:f5:1c:cb, 1398726484
who-has, 70:ca:9b:77:a7:b5, 00:00:00:00:00:00, 10.254.31.1, 10.254.31.19, ff:ff:ff:ff:ff:ff, 70:ca:9b:77:a7:b5, 1398726514
who-has, 1c:69:a5:06:42:9b, ff:ff:ff:ff:ff:ff, 10.254.31.19, 10.254.31.1, ff:ff:ff:ff:ff:ff, 1c:69:a5:06:42:9b, 1398726516
who-has, 30:39:26:f5:1c:cb, 00:00:00:00:00:00, 10.254.31.149, 10.254.31.1, ff:ff:ff:ff:ff:ff, 30:39:26:f5:1c:cb, 1398726602
